"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"136",2020-05-04,"Africa","",1799,44435,1340598113,1.34193833525111e-06,3.31456530999906e-05,0.0404861032969506
"137",2020-05-03,"Africa","",1760,42776,1340598113,1.3128468427137e-06,3.19081457635917e-05,0.0411445670469422
"138",2020-03-15,"Africa","",6,239,1340598113,4.47561423652399e-09,1.78278633754872e-07,0.0251046025104603
"139",2020-03-26,"Africa","",72,2690,1340598113,5.37073708382879e-08,2.00656704937492e-06,0.0267657992565056
"140",2020-03-08,"Africa","",NA,44,1340598113,NA,3.28211710678426e-08,NA
"141",2020-03-24,"Africa","",52,1738,1340598113,3.87886567165413e-08,1.29643625717978e-06,0.0299194476409666
"142",2020-03-23,"Africa","",44,1389,1340598113,3.28211710678426e-08,1.0361046957553e-06,0.0316774658027358
"143",2020-05-08,"Africa","",2078,54130,1340598113,1.55005439724948e-06,4.03774997705073e-05,0.0383890633659708
"144",2020-03-18,"Africa","",12,494,1340598113,8.95122847304798e-09,3.68492238807142e-07,0.0242914979757085
"145",2020-03-17,"Africa","",8,402,1340598113,5.96748564869866e-09,2.99866153847108e-07,0.0199004975124378
"146",2020-03-16,"Africa","",8,324,1340598113,5.96748564869866e-09,2.41683168772296e-07,0.0246913580246914
"147",2020-03-20,"Africa","",17,744,1340598113,1.26809070034846e-08,5.54976165328975e-07,0.0228494623655914
"148",2020-03-14,"Africa","",5,202,1340598113,3.72967853043666e-09,1.50679012629641e-07,0.0247524752475248
"149",2020-03-25,"Albania","ALB",5,123,2877800,1.73743832093961e-06,4.27409826951143e-05,0.040650406504065
"150",2020-03-21,"Albania","ALB",2,70,2877800,6.94975328375843e-07,2.43241364931545e-05,0.0285714285714286
"151",2020-04-21,"Albania","ALB",26,584,2877800,9.03467926888595e-06,0.000202932795885746,0.0445205479452055
"152",2020-03-24,"Albania","ALB",4,100,2877800,1.38995065675169e-06,3.47487664187921e-05,0.04
"153",2020-03-20,"Albania","ALB",2,70,2877800,6.94975328375843e-07,2.43241364931545e-05,0.0285714285714286
"154",2020-03-17,"Albania","ALB",1,51,2877800,3.47487664187921e-07,1.7721870873584e-05,0.0196078431372549
"155",2020-03-29,"Albania","ALB",10,197,2877800,3.47487664187921e-06,6.84550698450205e-05,0.050761421319797
"156",2020-03-26,"Albania","ALB",5,146,2877800,1.73743832093961e-06,5.07331989714365e-05,0.0342465753424658
"157",2020-03-19,"Albania","ALB",2,59,2877800,6.94975328375843e-07,2.05017721870874e-05,0.0338983050847458
"158",2020-03-18,"Albania","ALB",1,55,2877800,3.47487664187921e-07,1.91118215303357e-05,0.0181818181818182
"159",2020-04-27,"Albania","ALB",28,726,2877800,9.7296545972618e-06,0.000252276044200431,0.0385674931129477
"160",2020-03-16,"Albania","ALB",1,42,2877800,3.47487664187921e-07,1.45944818958927e-05,0.0238095238095238
"161",2020-04-18,"Albania","ALB",26,539,2877800,9.03467926888595e-06,0.00018729585099729,0.0482374768089054
"162",2020-03-22,"Albania","ALB",2,76,2877800,6.94975328375843e-07,2.6409062478282e-05,0.0263157894736842
"163",2020-05-02,"Albania","ALB",31,782,2877800,1.07721175898256e-05,0.000271735353394954,0.0396419437340153
"164",2020-04-30,"Albania","ALB",31,766,2877800,1.07721175898256e-05,0.000266175550767948,0.0404699738903394
"165",2020-03-23,"Albania","ALB",2,89,2877800,6.94975328375843e-07,3.0926402112725e-05,0.0224719101123595
"166",2020-04-28,"Albania","ALB",28,736,2877800,9.7296545972618e-06,0.00025575092084231,0.0380434782608696
"167",2020-04-17,"Albania","ALB",26,518,2877800,9.03467926888595e-06,0.000179998610049343,0.0501930501930502
"168",2020-04-19,"Albania","ALB",26,548,2877800,9.03467926888595e-06,0.000190423239974981,0.0474452554744526
"169",2020-03-14,"Albania","ALB",1,33,2877800,3.47487664187921e-07,1.14670929182014e-05,0.0303030303030303
"170",2020-04-22,"Albania","ALB",26,609,2877800,9.03467926888595e-06,0.000211619987490444,0.0426929392446634
"171",2020-05-07,"Albania","ALB",31,832,2877800,1.07721175898256e-05,0.000289109736604351,0.0372596153846154
"172",2020-04-16,"Albania","ALB",25,494,2877800,8.68719160469803e-06,0.000171658906108833,0.0506072874493927
"173",2020-04-20,"Albania","ALB",26,562,2877800,9.03467926888595e-06,0.000195288067273612,0.0462633451957295
"174",2020-03-13,"Albania","ALB",1,23,2877800,3.47487664187921e-07,7.99221627632219e-06,0.0434782608695652
"175",2020-04-24,"Albania","ALB",27,663,2877800,9.38216693307388e-06,0.000230384321356592,0.0407239819004525
"176",2020-04-06,"Albania","ALB",21,361,2877800,7.29724094794635e-06,0.00012544304677184,0.0581717451523546
"177",2020-03-28,"Albania","ALB",9,186,2877800,3.12738897769129e-06,6.46327055389534e-05,0.0483870967741935
"178",2020-04-29,"Albania","ALB",30,750,2877800,1.04246299256376e-05,0.000260615748140941,0.04
